SNOMED Procedure,Count,% of Total
Plain chest X-ray (procedure),42284,11.53
Plain chest X-ray (procedure) (399208008),25036,6.83
Computed tomography of entire head (procedure),9281,2.53
Ultrasonography of abdomen (procedure),5461,1.49
Computed tomography of entire head (procedure) (408754009),5410,1.48
Ultrasound scan for fetal growth (procedure),4969,1.35
Radiography of hip (procedure),4731,1.29
Radiography of shoulder (procedure),4690,1.28
"Computed tomography of thorax, abdomen and pelvis with contrast (procedure)",4687,1.28
Pelvis X-ray (procedure),4580,1.25
X-ray of right knee (procedure),4410,1.2
X-ray of left knee (procedure),4197,1.14
Radiography of wrist (procedure),4118,1.12
Radiography of hand (procedure),3687,1.01
Transthoracic echocardiography (procedure) (433236007),3581,0.98
Magnetic resonance imaging of head (procedure),3377,0.92
Computed tomography of abdomen and pelvis with contrast (procedure),3271,0.89
Ultrasonography of breast (procedure),3109,0.85
Bilateral mammography (procedure),3102,0.85
Transvaginal ultrasonography of pelvis (procedure) (429915000),2858,0.78
Fetal anatomy study (procedure),2831,0.77
"Computed tomography of thorax, abdomen and pelvis with contrast (procedure) (433761009)",2705,0.74
Transvaginal ultrasonography of pelvis (procedure),2681,0.73
Pelvic echography (procedure) (24848001),2613,0.71
Radiography of hip (procedure) (408740001),2603,0.71
Radiography of shoulder (procedure) (29592009),2600,0.71
Ultrasonography of abdomen (procedure) (45036003),2517,0.69
Ultrasound scan for fetal growth (procedure) (241493005),2462,0.67
X-ray of right ankle (procedure),2447,0.67
X-ray of left ankle (procedure),2360,0.64
Computed tomography of abdomen and pelvis with contrast (procedure) (432370003),2354,0.64
X-ray of right foot (procedure),2346,0.64
X-ray of left foot (procedure),2311,0.63
Orthopantogram (procedure),2299,0.63
Ultrasound of urinary tract (procedure),2268,0.62
Transvaginal and transabdominal ultrasonography of pelvis (procedure),2223,0.61
Radiography of hand (procedure) (49345004),2217,0.6
Radiography of wrist (procedure) (60027007),2216,0.6
Ultrasound of urinary tract (procedure) (303917008),2164,0.59
Nuchal ultrasound scan (procedure),2157,0.59
Pelvis X-ray (procedure) (268425006),2059,0.56
Dual energy X-ray photon absorptiometry (procedure),2053,0.56
Computed tomography of chest (procedure),2050,0.56
Computed tomography angiography of pulmonary artery with contrast (procedure),2042,0.56
Magnetic resonance imaging of head (procedure) (241601008),1954,0.53
Radiologic examination of knee (procedure) (74016001),1935,0.53
Diagnostic radiography of abdomen (procedure),1795,0.49
Radiography of elbow (procedure),1694,0.46
Pelvic echography (procedure),1680,0.46
Diagnostic radiography of lumbar spine (procedure),1612,0.44
Positron emission tomography with computed tomography fluorodeoxyglucose imaging of whole body (procedure) (443271005),1554,0.42
Magnetic resonance imaging of lumbar and sacral spine (procedure),1550,0.42
Magnetic resonance imaging of lumbar and sacral spine (procedure) (433141005),1443,0.39
Echography of kidney (procedure),1376,0.38
Ultrasound monitoring of early pregnancy (procedure),1313,0.36
Thumb X-ray (procedure),1311,0.36
Nuchal ultrasound scan (procedure) (414880004),1198,0.33
Radiography of ankle (procedure) (19490002),1193,0.33
X-ray of right knee (procedure) (427407003),1150,0.31
Computed tomography of chest (procedure) (169069000),1139,0.31
Radiography of foot (procedure) (52221007),1137,0.31
Ultrasound compression venography of lower limb (procedure),1132,0.31
Orthopantogram (procedure) (89846007),1128,0.31
X-ray of left knee (procedure) (427019001),1127,0.31
"Computed tomography of chest, abdomen and pelvis (procedure)",1122,0.31
Echography of scrotum and contents (procedure),1109,0.3
Computed tomography of abdomen and pelvis (procedure),1055,0.29
Doppler ultrasonography of vein of lower limb (procedure),1045,0.28
Ultrasound obstetric doppler (procedure),1037,0.28
Tibia and/or fibula X-ray (procedure),1026,0.28
Radiography of elbow (procedure) (76913009),1019,0.28
Low dose computed tomography of thorax (procedure),1018,0.28
Computed tomography angiography of coronary arteries (procedure),1014,0.28
Computed tomography of cervical spine (procedure),1008,0.27
Ultrasound scan of neck (procedure),950,0.26
Bilateral mammography (procedure) (43204002),921,0.25
Computed tomography angiography of pulmonary artery (procedure) (419225001),915,0.25
Echography of scrotum and contents (procedure) (24737001),898,0.24
Ultrasonography in first trimester (procedure),888,0.24
Mammography (procedure) (71651007),885,0.24
Plain X-ray of scaphoid (procedure),876,0.24
Diagnostic radiography of abdomen (procedure) (60654006),866,0.24
Transvaginal and transabdominal ultrasonography of pelvis (procedure) (826601000000101),865,0.24
Magnetic resonance imaging of head with contrast (procedure) (432874000),845,0.23
Radiography of cervical spine (procedure),831,0.23
Computed tomography of urinary tract (procedure),828,0.23
Magnetic resonance imaging of head with contrast (procedure),817,0.22
Plain X-ray of femur (procedure),815,0.22
Computed tomography of thorax with contrast (procedure),815,0.22
Magnetic resonance imaging of spine (procedure),810,0.22
Magnetic resonance imaging of cervical spine (procedure),805,0.22
X-ray of right ankle (procedure) (426721006),783,0.21
Ultrasonography of liver (procedure) (105377009),763,0.21
X-ray of left ankle (procedure) (426420006),751,0.2
Computerised tomography of chest with high resolution (procedure),744,0.2
Thumb X-ray (procedure) (241074003),732,0.2
Computed tomography of urinary tract with contrast (procedure),727,0.2
Diagnostic radiography of lumbar spine (procedure) (90805008),720,0.2
Dual energy X-ray photon absorptiometry (procedure) (241686001),710,0.19
Radiography of humerus (procedure),706,0.19
Radiography of thoracic spine (procedure),696,0.19
Fetal anatomy study (procedure) (271442007),690,0.19
Magnetic resonance imaging of cervical spine (procedure) (241646009),683,0.19
Ultrasonography of abdomen and renal tract (procedure),682,0.19
X-ray of left foot (procedure) (426908009),681,0.19
X-ray of right foot (procedure) (426311001),666,0.18
Transthoracic echocardiography (procedure),666,0.18
Ultrasound scan of neck (procedure) (241453007),648,0.18
Carotid artery doppler assessment (procedure),643,0.18
Tibia and/or fibula X-ray (procedure) (241076001),629,0.17
Ultrasound scan of upper abdomen (procedure) (418398002),617,0.17
X-ray of fingers (procedure),616,0.17
Radiography of forearm (procedure),614,0.17
Ultrasound scan of hand (procedure),607,0.17
Computerized axial tomography of kidney (procedure) (55501000),594,0.16
X-ray of both feet (procedure),590,0.16
Magnetic resonance cholangiopancreatography (procedure),588,0.16
Fluoroscopic angiography of coronary arteries (procedure),588,0.16
Fluoroscopic angiography of coronary arteries (procedure) (419416005),583,0.16
Plain X-ray of clavicle (procedure),581,0.16
Doppler ultrasonography of vein of lower limb (procedure) (432336004),565,0.15
X-ray of middle finger (procedure),563,0.15
Magnetic resonance imaging of internal auditory meatus (procedure),557,0.15
"Computed tomography of neck, thorax, abdomen and pelvis with contrast (procedure)",556,0.15
Medical photography (procedure),553,0.15
X-ray of little finger (procedure),549,0.15
Computed tomography of thorax and abdomen with contrast (procedure),544,0.15
X-ray of both knees (procedure),542,0.15
Magnetic resonance imaging of internal auditory meatus (procedure) (241606003),537,0.15
Magnetic resonance imaging of spine (procedure) (241645008),536,0.15
Ultrasonography of soft tissue (procedure),531,0.14
Computed tomography of cervical spine (procedure) (241578008),531,0.14
Computed tomography of thorax with contrast (procedure) (75385009),527,0.14
Computed tomography angiography of coronary arteries (procedure) (419545005),527,0.14
Radiography of cervical spine (procedure) (66769009),521,0.14
Magnetic resonance imaging of right knee (procedure),512,0.14
Magnetic resonance imaging of prostate (procedure),492,0.13
Ultrasonography of breast (procedure) (47079000),482,0.13
Magnetic resonance imaging of left knee (procedure),480,0.13
X-ray of index finger (procedure),474,0.13
Ultrasound scan of abdomen and pelvis (procedure) (418394000),472,0.13
Plain X-ray of scaphoid (procedure) (241071006),471,0.13
X-ray of ring finger (procedure),455,0.12
Ultrasound scan of shoulder joint (procedure),454,0.12
Plain X-ray of femur (procedure) (241075002),452,0.12
X-ray of little finger (procedure) (418515004),450,0.12
Positron emission tomography fluorodeoxyglucose imaging of whole body (procedure),437,0.12
Barium swallow (procedure),432,0.12
Dual energy X-ray photon absorptiometry scan of lumbar spine (procedure) (428377003),431,0.12
Dual energy X-ray photon absorptiometry scan of hip (procedure) (429529009),428,0.12
Computerized axial tomography of brain with radiopaque contrast (procedure),426,0.12
Ultrasonography of inguinal region (procedure) (418105000),416,0.11
Computed tomography of aorta (procedure) (305053005),413,0.11
Magnetic resonance imaging of thoracic spine (procedure),411,0.11
Computed tomography angiography of intracranial artery (procedure) (419949007),408,0.11
Positron emission tomography with computed tomography using fluorodeoxyglucose (18-F) (procedure),397,0.11
Dental X-ray periapical (procedure) (241047004),394,0.11
Virtual computed tomography colonoscopy (procedure),390,0.11
Skeletal X-ray of pelvis and hip (procedure),389,0.11
Core needle biopsy of breast using ultrasound guidance (procedure),387,0.11
Mammography of left breast (procedure),386,0.11
Ultrasound scan of shoulder joint (procedure) (241497006),384,0.1
Ultrasound scan - obstetric (procedure) (268445003),380,0.1
Ultrasonography of wrist (procedure),377,0.1
Mammography of right breast (procedure),377,0.1
Dental X-ray periapical (procedure),366,0.1
Magnetic resonance imaging of pelvis (procedure) (2690005),365,0.1
Computed tomography of aorta (procedure),362,0.1
Computed tomography angiography of intracranial artery (procedure),362,0.1
Magnetic resonance imaging of lumbar spine (procedure),362,0.1
Dental X-ray bitewing (procedure) (241046008),357,0.1
Radiography of forearm (procedure) (74809003),352,0.1
Radiographic imaging of toe (procedure),351,0.1
Radiography of thoracic spine (procedure) (45554006),345,0.09
Ultrasonography of liver (procedure),344,0.09
Ultrasound scan of both hips (procedure),343,0.09
Ultrasound scan of upper abdomen (procedure),341,0.09
Hallux X-ray (procedure),335,0.09
Radiography of humerus (procedure) (1225002),334,0.09
Computerized axial tomography of brain with radiopaque contrast (procedure) (396207002),332,0.09
X-ray of lower limb using mobile image intensifier (procedure),329,0.09
Magnetic resonance imaging of pelvis (procedure),326,0.09
Radionuclide whole body bone study (procedure),320,0.09
Virtual computed tomography colonoscopy (procedure) (418714002),315,0.09
Carotid artery doppler assessment (procedure) (394719009),314,0.09
X-ray of ring finger (procedure) (419080000),313,0.09
Ultrasound monitoring of early pregnancy (procedure) (228881000000102),313,0.09
Magnetic resonance cholangiopancreatography (procedure) (314635004),306,0.08
Computerized axial tomography of kidney (procedure),304,0.08
Computed tomography of paranasal sinuses (procedure),301,0.08
Ultrasound scan of abdomen and pelvis (procedure),300,0.08
Magnetic resonance imaging of pelvis with contrast (procedure) (433138001),298,0.08
Low dose computed tomography of thorax (procedure) (713548006),297,0.08
Dual energy X-ray photon absorptiometry scan of lumbar spine (procedure),296,0.08
Cardiac computed tomography for calcium scoring (procedure),294,0.08
Ultrasonography of anterior abdominal wall (procedure) (432853001),290,0.08
Dual energy X-ray photon absorptiometry scan of hip (procedure),290,0.08
Ultrasound scan of abdominal aorta (procedure),289,0.08
Computed tomography for radiotherapy planning (procedure),288,0.08
Ultrasonography in first trimester (procedure) (446522006),285,0.08
"Computed tomography of neck, thorax, abdomen and pelvis with contrast (procedure) (434438003)",284,0.08
Computed tomography angiography of pulmonary artery with contrast (procedure) (16332841000119106),282,0.08
Ultrasound scan of hand (procedure) (303924009),282,0.08
Ultrasonography of right axilla (procedure),282,0.08
Hallux X-ray (procedure) (241082003),277,0.08
X-ray of middle finger (procedure) (419380005),273,0.07
X-ray of index finger (procedure) (418802004),273,0.07
Ultrasonography in second trimester (procedure),272,0.07
Magnetic resonance imaging of right knee (procedure) (2491000087104),270,0.07
Gynaecological magnetic resonance imaging of pelvis (procedure),267,0.07
Plain X-ray of clavicle (procedure) (168594001),266,0.07
Computed tomography angiography (procedure),263,0.07
Magnetic resonance imaging of left knee (procedure) (2471000087103),263,0.07
Fluoroscopic angiography of coronary artery and insertion of stent (procedure) (418982001),263,0.07
Transvaginal obstetric ultrasonography (procedure),261,0.07
Magnetic resonance imaging of neck (procedure),261,0.07
Doppler ultrasonography of artery of lower limb (procedure),260,0.07
X-ray of lumbar spine and sacroiliac joints (procedure) (419942003),257,0.07
Measurement of cervical length using transvaginal ultrasonography (procedure),255,0.07
Computed tomography angiography of aortic arch and carotid arteries (procedure),248,0.07
Computed tomography of pelvis (procedure),239,0.07
Ultrasonography of left axilla (procedure),238,0.06
Injection using ultrasound guidance (procedure) (432235002),237,0.06
Magnetic resonance imaging of prostate (procedure) (75691003),235,0.06
"Computerized tomography of neck, thorax, abdomen and pelvis (procedure)",231,0.06
