SNOMED Procedure,Count,% of Total,Cumulative %
Plain chest X-ray (procedure),42284,11.53,11.53
Plain chest X-ray (procedure) (399208008),25036,6.83,18.36
Computed tomography of entire head (procedure),9281,2.53,20.89
Ultrasonography of abdomen (procedure),5461,1.49,22.38
Computed tomography of entire head (procedure) (408754009),5410,1.48,23.86
Ultrasound scan for fetal growth (procedure),4969,1.35,25.21
Radiography of hip (procedure),4731,1.29,26.5
Radiography of shoulder (procedure),4690,1.28,27.78
"Computed tomography of thorax, abdomen and pelvis with contrast (procedure)",4687,1.28,29.060000000000002
Pelvis X-ray (procedure),4580,1.25,30.310000000000002
X-ray of right knee (procedure),4410,1.2,31.51
X-ray of left knee (procedure),4197,1.14,32.65
Radiography of wrist (procedure),4118,1.12,33.769999999999996
Radiography of hand (procedure),3687,1.01,34.779999999999994
Transthoracic echocardiography (procedure) (433236007),3581,0.98,35.75999999999999
Magnetic resonance imaging of head (procedure),3377,0.92,36.67999999999999
Computed tomography of abdomen and pelvis with contrast (procedure),3271,0.89,37.56999999999999
Ultrasonography of breast (procedure),3109,0.85,38.419999999999995
Bilateral mammography (procedure),3102,0.85,39.269999999999996
Transvaginal ultrasonography of pelvis (procedure) (429915000),2858,0.78,40.05
Fetal anatomy study (procedure),2831,0.77,40.82
"Computed tomography of thorax, abdomen and pelvis with contrast (procedure) (433761009)",2705,0.74,41.56
Transvaginal ultrasonography of pelvis (procedure),2681,0.73,42.29
Pelvic echography (procedure) (24848001),2613,0.71,43.0
Radiography of hip (procedure) (408740001),2603,0.71,43.71
Radiography of shoulder (procedure) (29592009),2600,0.71,44.42
Ultrasonography of abdomen (procedure) (45036003),2517,0.69,45.11
Ultrasound scan for fetal growth (procedure) (241493005),2462,0.67,45.78
X-ray of right ankle (procedure),2447,0.67,46.45
X-ray of left ankle (procedure),2360,0.64,47.09
Computed tomography of abdomen and pelvis with contrast (procedure) (432370003),2354,0.64,47.730000000000004
X-ray of right foot (procedure),2346,0.64,48.370000000000005
X-ray of left foot (procedure),2311,0.63,49.00000000000001
Orthopantogram (procedure),2299,0.63,49.63000000000001
Ultrasound of urinary tract (procedure),2268,0.62,50.25000000000001
Transvaginal and transabdominal ultrasonography of pelvis (procedure),2223,0.61,50.86000000000001
Radiography of hand (procedure) (49345004),2217,0.6,51.46000000000001
Radiography of wrist (procedure) (60027007),2216,0.6,52.06000000000001
Ultrasound of urinary tract (procedure) (303917008),2164,0.59,52.65000000000001
Nuchal ultrasound scan (procedure),2157,0.59,53.240000000000016
Pelvis X-ray (procedure) (268425006),2059,0.56,53.80000000000002
Dual energy X-ray photon absorptiometry (procedure),2053,0.56,54.36000000000002
Computed tomography of chest (procedure),2050,0.56,54.92000000000002
Computed tomography angiography of pulmonary artery with contrast (procedure),2042,0.56,55.480000000000025
Magnetic resonance imaging of head (procedure) (241601008),1954,0.53,56.010000000000026
Radiologic examination of knee (procedure) (74016001),1935,0.53,56.54000000000003
Diagnostic radiography of abdomen (procedure),1795,0.49,57.03000000000003
Radiography of elbow (procedure),1694,0.46,57.49000000000003
Pelvic echography (procedure),1680,0.46,57.95000000000003
Diagnostic radiography of lumbar spine (procedure),1612,0.44,58.39000000000003
Positron emission tomography with computed tomography fluorodeoxyglucose imaging of whole body (procedure) (443271005),1554,0.42,58.81000000000003
Magnetic resonance imaging of lumbar and sacral spine (procedure),1550,0.42,59.23000000000003
Magnetic resonance imaging of lumbar and sacral spine (procedure) (433141005),1443,0.39,59.62000000000003
Echography of kidney (procedure),1376,0.38,60.000000000000036
Ultrasound monitoring of early pregnancy (procedure),1313,0.36,60.360000000000035
Thumb X-ray (procedure),1311,0.36,60.720000000000034
Nuchal ultrasound scan (procedure) (414880004),1198,0.33,61.05000000000003
Radiography of ankle (procedure) (19490002),1193,0.33,61.38000000000003
X-ray of right knee (procedure) (427407003),1150,0.31,61.69000000000003
Computed tomography of chest (procedure) (169069000),1139,0.31,62.000000000000036
Radiography of foot (procedure) (52221007),1137,0.31,62.31000000000004
Ultrasound compression venography of lower limb (procedure),1132,0.31,62.62000000000004
Orthopantogram (procedure) (89846007),1128,0.31,62.93000000000004
X-ray of left knee (procedure) (427019001),1127,0.31,63.240000000000045
"Computed tomography of chest, abdomen and pelvis (procedure)",1122,0.31,63.55000000000005
Echography of scrotum and contents (procedure),1109,0.3,63.850000000000044
Computed tomography of abdomen and pelvis (procedure),1055,0.29,64.14000000000004
Doppler ultrasonography of vein of lower limb (procedure),1045,0.28,64.42000000000004
Ultrasound obstetric doppler (procedure),1037,0.28,64.70000000000005
Tibia and/or fibula X-ray (procedure),1026,0.28,64.98000000000005
Radiography of elbow (procedure) (76913009),1019,0.28,65.26000000000005
Low dose computed tomography of thorax (procedure),1018,0.28,65.54000000000005
Computed tomography angiography of coronary arteries (procedure),1014,0.28,65.82000000000005
Computed tomography of cervical spine (procedure),1008,0.27,66.09000000000005
Ultrasound scan of neck (procedure),950,0.26,66.35000000000005
Bilateral mammography (procedure) (43204002),921,0.25,66.60000000000005
Computed tomography angiography of pulmonary artery (procedure) (419225001),915,0.25,66.85000000000005
Echography of scrotum and contents (procedure) (24737001),898,0.24,67.09000000000005
